	model	years	severity	acc	diff	expected	unexpected	macrodiff
150	distilbert/distilroberta-base	100	M4	0.7333333333333333	-0.0008162759334178724	0.09305530947288689	0.09387158540630475	-0.0008162759334178621
151	distilbert/distilroberta-base	100	M5	0.6285714285714286	0.00010170855368003367	0.09509584277671881	0.09499413422303878	0.00010170855368003828
152	distilbert/distilroberta-base	100	M6	0.6785714285714286	-9.342642617541906e-05	0.1074109944112576	0.10750442083743302	-9.342642617542196e-05
153	distilbert/distilroberta-base	100	M7	0.6275862068965518	-0.0008925754710429022	0.09752917966338667	0.09842175513442958	-0.0008925754710429057
154	distilbert/distilroberta-base	100	M8	0.6620689655172414	0.00023399518275349403	0.08598041034845233	0.08574641516569884	0.00023399518275349362
155	distilbert/distilroberta-base	100	M9	0.6956521739130435	9.326107141404394e-05	0.08109964785135505	0.08100638677994099	9.326107141406637e-05
156	distilbert/distilroberta-base	15	D1	0.06666666666666667	-0.005155746093502478	0.12917741890704137	0.13433316500054385	-0.005155746093502472
157	distilbert/distilroberta-base	15	D2	0.08	-0.004698760020219186	0.10639914695696458	0.11109790697718377	-0.004698760020219198
158	distilbert/distilroberta-base	15	D3	0.15	-0.003993990601679795	0.11686636345784218	0.12086035405952197	-0.003993990601679792
159	distilbert/distilroberta-base	15	D4	0.16	-0.00390514899507253	0.10946258464332455	0.11336773363839708	-0.0039051489950725354
160	distilbert/distilroberta-base	15	M1	0.04	-0.003756678173476768	0.06826178774492288	0.07201846591839965	-0.003756678173476774
161	distilbert/distilroberta-base	15	M2	0.1	-0.0034902577259799633	0.06776168774518583	0.0712519454711658	-0.003490257725979967
162	distilbert/distilroberta-base	15	M3	0.08888888888888889	-0.008036263843759016	0.1543937316284023	0.16242999547216133	-0.008036263843759023
163	distilbert/distilroberta-base	15	M4	0.16666666666666666	-0.005659428264577109	0.14871319865681767	0.1543726269213948	-0.005659428264577132
164	distilbert/distilroberta-base	15	M5	0.20476190476190476	-0.0042193404625588075	0.12295119818544974	0.12717053864800854	-0.004219340462558799
165	distilbert/distilroberta-base	15	M6	0.2	-0.004597560603515051	0.14833207529848091	0.15292963590199596	-0.004597560603515044
166	distilbert/distilroberta-base	15	M7	0.14482758620689656	-0.005309615820770296	0.1344835697918291	0.13979318561259943	-0.00530961582077033
167	distilbert/distilroberta-base	15	M8	0.167816091954023	-0.0045096396496125965	0.11683716094557185	0.12134680059518445	-0.004509639649612596
168	distilbert/distilroberta-base	15	M9	0.09565217391304348	-0.005298442882762989	0.12053062377872756	0.12582906666149055	-0.005298442882762988
169	distilbert/distilroberta-base	2	D1	0.3333333333333333	-0.0037236148160900468	0.12365435171624689	0.12737796653233693	-0.003723614816090043
170	distilbert/distilroberta-base	2	D2	0.48	-0.0018533886179193354	0.09106115211819084	0.09291454073611018	-0.0018533886179193382
171	distilbert/distilroberta-base	2	D3	0.575	-0.0013300935411678018	0.09905740644068711	0.10038749998185492	-0.0013300935411678094
172	distilbert/distilroberta-base	2	D4	0.56	-0.0015881071266176123	0.09297511691019279	0.0945632240368104	-0.0015881071266176106
173	distilbert/distilroberta-base	2	M1	0.44	0.0004139668572497635	0.04439374199650044	0.04397977513925068	0.000413966857249759
174	distilbert/distilroberta-base	2	M2	0.5	9.30128882070392e-05	0.03629972622522167	0.03620671333701463	9.301288820703912e-05
175	distilbert/distilroberta-base	2	M3	0.35555555555555557	-0.0030621401352214496	0.11634354961897768	0.11940568975419912	-0.003062140135221436
176	distilbert/distilroberta-base	2	M4	0.4666666666666667	-0.0021757574108960333	0.13219877065779045	0.1343745280686865	-0.00217575741089604
177	distilbert/distilroberta-base	2	M5	0.44285714285714284	-0.0011010335727167457	0.09858133921230933	0.09968237278502608	-0.0011010335727167503
178	distilbert/distilroberta-base	2	M6	0.5285714285714286	-0.0017414425855447173	0.12575341454529668	0.12749485713084138	-0.0017414425855447058
179	distilbert/distilroberta-base	2	M7	0.503448275862069	-0.0022911078752415456	0.1126702666415032	0.11496137451674475	-0.0022911078752415465
180	distilbert/distilroberta-base	2	M8	0.5563218390804597	-0.0016554075359097678	0.09390469233874617	0.09556009987465593	-0.0016554075359097586
181	distilbert/distilroberta-base	2	M9	0.5043478260869565	-0.0013973485144481907	0.09220693306633618	0.09360428158078436	-0.001397348514448185
182	distilbert/distilroberta-base	7	D1	0.2	-0.0030094216952344767	0.1318261544530666	0.13483557614830105	-0.0030094216952344377
183	distilbert/distilroberta-base	7	D2	0.28	-0.0018009214066068997	0.09588281316654043	0.09768373457314734	-0.0018009214066069118
184	distilbert/distilroberta-base	7	D3	0.45	-0.0014197573640984795	0.1055906889769204	0.10701044634101889	-0.001419757364098495
185	distilbert/distilroberta-base	7	D4	0.4	-0.0015257519597753442	0.09841877874234793	0.09994453070212328	-0.0015257519597753483
186	distilbert/distilroberta-base	7	M1	0.24	-0.0007158012295985886	0.043087355912257375	0.04380315714185597	-0.0007158012295985922
187	distilbert/distilroberta-base	7	M2	0.23333333333333334	-0.0008595492866637298	0.0395310358074463	0.04039058509411004	-0.0008595492866637355
188	distilbert/distilroberta-base	7	M3	0.022222222222222223	-0.0036759251068158726	0.12800571947575207	0.13168164458256792	-0.0036759251068158583
189	distilbert/distilroberta-base	7	M4	0.3333333333333333	-0.0018403233752299737	0.14165652643823703	0.143496849813467	-0.001840323375229963
190	distilbert/distilroberta-base	7	M5	0.24761904761904763	-0.0015763639769797286	0.10440989048028895	0.10598625445726868	-0.0015763639769797305
191	distilbert/distilroberta-base	7	M6	0.36428571428571427	-0.0016750258550083713	0.1354208342325851	0.13709586008759347	-0.0016750258550083663
192	distilbert/distilroberta-base	7	M7	0.2827586206896552	-0.002268008977796793	0.12280788077987378	0.1250758897576706	-0.0022680089777968038
193	distilbert/distilroberta-base	7	M8	0.39080459770114945	-0.0019384984624463242	0.10124099340104495	0.10317949186349128	-0.001938498462446328
194	distilbert/distilroberta-base	7	M9	0.27391304347826084	-0.0019780288652703386	0.10086229717936057	0.10284032604463092	-0.001978028865270348
195	gpt2	0	D1	0.13333333333333333	-0.004215162252027464	0.13249005618429993	0.13670521843632738	-0.004215162252027449
196	gpt2	0	D2	0.24	-0.002786746898636917	0.18927670194163507	0.192063448840272	-0.0027867468986369215
197	gpt2	0	D3	0.2	-0.0037185542426414067	0.20550960352179568	0.2092281577644371	-0.0037185542426414198
198	gpt2	0	D4	0.16	-0.00390347627733718	0.20027740049619747	0.20418087677353466	-0.003903476277337198
199	gpt2	0	M1	0.16	-0.0036503943066054528	0.16098032270430845	0.16463071701091392	-0.0036503943066054645
200	gpt2	0	M2	0.16666666666666666	-0.002079880452311043	0.17962866551388285	0.1817085459661939	-0.002079880452311056
201	gpt2	0	M3	0.4666666666666667	-0.000746514712227501	0.24463293255604282	0.24537944726827032	-0.0007465147122275029
202	gpt2	0	M4	0.3333333333333333	-0.0014267727431918756	0.2236219461454311	0.225048718888623	-0.0014267727431918897
