	model	race	punishment	severity	acc	diff	expected	unexpected	macrodiff
167	distilbert-base-uncased	White vs Black	15	M8	0.24883720930232558	-0.0007099689923898267	0.11327690447192988	0.11398687346431972	-0.0007099689923898422
168	distilbert-base-uncased	White vs Black	15	M9	0.2	-0.0008783023681462486	0.10423418772730653	0.10511249009545277	-0.0008783023681462471
169	distilbert-base-uncased	White vs Black	2	D1	0.3333333333333333	-0.0009552177264898281	0.11517394154798237	0.11612915927447219	-0.000955217726489821
170	distilbert-base-uncased	White vs Black	2	D2	0.28	-0.0006841452833032227	0.09209452644689005	0.09277867173019327	-0.0006841452833032252
171	distilbert-base-uncased	White vs Black	2	D3	0.325	-9.923849829647484e-05	0.09068517071500533	0.0907844092133018	-9.923849829647502e-05
172	distilbert-base-uncased	White vs Black	2	D4	0.32	-0.000690979381906794	0.09064825722947713	0.09133923661138393	-0.0006909793819068061
173	distilbert-base-uncased	White vs Black	2	M1	0.4	-0.0007595399732235829	0.09062035831040699	0.09137989828363058	-0.0007595399732235886
174	distilbert-base-uncased	White vs Black	2	M2	0.3333333333333333	-0.00030387741232214277	0.0916143110613726	0.09191818847369476	-0.0003038774123221566
175	distilbert-base-uncased	White vs Black	2	M3	0.35555555555555557	1.4114566794086651e-05	0.08488401406987876	0.08486989950308468	1.411456679407952e-05
176	distilbert-base-uncased	White vs Black	2	M4	0.4	0.0004934529861202417	0.09249300754842499	0.09199955456230474	0.0004934529861202464
177	distilbert-base-uncased	White vs Black	2	M5	0.28095238095238095	-0.0004690898020184893	0.10741498303936425	0.10788407284138272	-0.0004690898020184714
178	distilbert-base-uncased	White vs Black	2	M6	0.37857142857142856	0.00021757321956101657	0.09311078075677084	0.09289320753720984	0.00021757321956100695
179	distilbert-base-uncased	White vs Black	2	M7	0.32142857142857145	0.00022075356339753315	0.08932539685577333	0.0891046432923758	0.00022075356339752716
180	distilbert-base-uncased	White vs Black	2	M8	0.40930232558139534	-8.408382371187241e-05	0.09194578916825306	0.09202987299196493	-8.40838237118613e-05
181	distilbert-base-uncased	White vs Black	2	M9	0.4	-0.00019848154639476345	0.08204751676028532	0.08224599830668008	-0.00019848154639476312
182	distilbert-base-uncased	White vs Black	7	D1	0.26666666666666666	-0.0014439151903691812	0.10371601430330578	0.10515992949367495	-0.0014439151903691688
183	distilbert-base-uncased	White vs Black	7	D2	0.16	-0.0012080290570156492	0.07923723653017074	0.08044526558718638	-0.0012080290570156416
184	distilbert-base-uncased	White vs Black	7	D3	0.2	-0.0006755783102562364	0.07520533865863395	0.07588091696889018	-0.0006755783102562335
185	distilbert-base-uncased	White vs Black	7	D4	0.16	-0.0013707429583882744	0.07645289843028874	0.077823641388677	-0.0013707429583882658
186	distilbert-base-uncased	White vs Black	7	M1	0.12	-0.0015391091984929613	0.08258441303099967	0.08412352222949263	-0.001539109198492955
187	distilbert-base-uncased	White vs Black	7	M2	0.13333333333333333	-0.0010650566706317415	0.08283343218984854	0.08389848886048028	-0.0010650566706317394
188	distilbert-base-uncased	White vs Black	7	M3	0.1111111111111111	-0.000854240734285366	0.07162225755035045	0.07247649828463582	-0.0008542407342853608
189	distilbert-base-uncased	White vs Black	7	M4	0.2	-0.00043901358052001474	0.07630738798470697	0.07674640156522698	-0.00043901358052000905
190	distilbert-base-uncased	White vs Black	7	M5	0.19047619047619047	-0.0010495005232812808	0.09448563824769816	0.09553513877097947	-0.001049500523281302
